day,id,k,k_label,k_icon,t_start,t_end,language,image,orga,fr_location,fr_title,fr_description,en_title,en_description,en_location
,11,talk,talk,fa-presentation,2020-01-09T19:00:00+02:00,2020-01-09T19:30:00+02:00,FR,,Gilles Fedak - iExec,Conférence,Concevoir et implémenter une place de marché décentralisée: quelques défis et leçons apprises,"Depuis près de vingt ans, les systèmes P2P proposent des applications donnant plus de libertés à leurs utilisateurs. Du partage de fichiers aux cryptomonnaies, ces applications ont révolutionné nos façons de concevoir les systèmes distribués et au-delà, ont souvent participé à secouer l'ordre établi. Nous pensons qu'une nouvelle application des systèmes P2P sont les places de marchés décentralisées, qui en s'appuyant sur les blockchain permettent à tout un chacun d'échanger des services ou de monétiser des ressources, directement, sans tiers de confiance. Dans cet exposé, nous nous appuierons sur l'exemple iExec, (Cloud décentralisé) pour introduire les défis de conception et de mise en oeuvre de ces places de marchés décentralisées.","Design and Implementation of a Decentralized Marketplace: Challenges and Lessons Learned, by Gilles Fedak","For more than twenty years, applications based on P2P logic deliver more freedom to their users. From file-sharing to cryptocurrencies, they have revolutionized the way we design distributed systems, at a technical level and beyond. We believe that now is the time for a new wave of P2P systems: decentralized marketplaces. Relying on blockchains, they enable anyone to exchange services and monetize resources with no reliance on a trusted third party. Gilles will share the lessons learned at iExec with respect to the challenges faced when designing and deploying such a decentralized marketplace.",Conférence
,12,talk,talk,fa-presentation,2020-01-09T20:00:00+02:00,2020-01-09T20:30:00+02:00,FR/EN,,Manfred Touron - Berty.tech,Conférence,Présentation grand public de Berty Protocol,"@Moul, fondateur de Berty.tech & son équipe viendront présenter le fonctionnement d’IPFS, et partager son expérience à travers le projet Berty.tech qui a remporté le prix OMG Feature de l’IPFS Camp 2019 à Barcelone.
Ce projet développé par la jeune équipe constituée en ONG est destiné à protéger les individus, journalistes, lanceurs d’alertes et citoyens contre toutes les formes de censure et de surveillance.",Mainstream Introduction to the Berty Protocol,"@Moul, founder of Berty.tech and his team will introduce IPFS and share lessons learned while building their technology. Berty.tech has won the OMG Feature Award at the IPFS Camp 2019 in Barcelona.
Berty is an NGO dedicated to building technology for protecting individuals, journalists, whistleblowers and citizens from any form of censorship and surveillance.",Conférence
,13,talk,talk,fa-presentation,2020-01-09T20:30:00+02:00,2020-01-09T21:00:00+02:00,FR,,"Dr Sonia Ben Mokhtar - CNRS, LIRIS-DRIM",Conférence,Protection de la vie privée dans les systèmes en ligne: application aux requêtes Web et à la VOD (Video On Demand),"Les systèmes en ligne (e.g., moteurs de recherche, applications géo-localisées, systèmes de VOD, systèmes de recommendation) collectent massivement des données personnelles des usagers afin d'offrir à ces derniers des services dont ils n'arrivent désormais plus à se passer. 
Hors ces données collectées (e.g., géo-localisation, historiques de requêtes) peuvent révéler des informations extrêmement sensibles telles que les préférences politique, religieuses ou sexuelles d'un usager.
Je décrirai lors de cette présentation les risques encourus lorsque nous partageons nos données personnelles avec des systèmes en ligne et présenterai une approche prospective pour la préservation des données personnelles basée sur la décentralisation et l'utilisation de processeurs sécurisés (e.g., Intel SGX). Deux contextes applicatifs seront particulièrement mis en avant: les requêtes Web et les systèmes de VOD.",Building privacy-preserving online services: application to Web search and video streaming systems,"Online services (e.g. search engines, location-based services, video on demand, recommendation engines) require a massive amount of personal data harvested from their users. These data, such as location coordinates or search request history, can reveal highly sensitive user information such as political, religious, or sexual preferences.
I will describe the risks stemming from the use of online services with respect to personal data and I will introduce a prospective approach for personal data protection based on decentralization and the use of hardened CPUs (e.g. Intel SGX). I will focus on two specific applications: Web requests and VOD systems.",Conférence
,14,projection,projection,fa-camera-movie,2020-01-09T17:00:00+02:00,2020-01-09T18:30:00+02:00,FR,movie_protocole.png,P2P Festival,Projection,Projection du documentaire Protocole,"Protocole écoute la « cryptosphère ». On y côtoie des utilisateurs, des promoteurs de Bitcoin et des cryptomonnaies en général, mais aussi des entrepreneurs et des chercheurs qui étudient ce phénomène.

En donnant la parole aux premiers concernés, il devient évident que la contestation monétaire portée par Bitcoin s’inscrit en réalité dans une remise en question beaucoup plus vaste de notre société tout entière. Les cryptomonnaies sont bien moins « une nouvelle classe d’actifs » qu’un phénomène social.",Protocole - A Documentary About Bitcoin & Cryptocurrencies + Q&A with Rémi Crussière,"Protocole is plugged to the « cryptosphere », where one can meet users and supporters of Bitcoin and other cryptocurrencies, as well as entrepreneurs and researchers.

Giving them a voice makes it obvious that Bitcoin as a way of challenging monetary institutions is actually part of larger trend of the society as a whole. Cryptocurrency are not just a new ""asset class"", but complex and far-reaching social phenomenon.",Projection
,15,projection,projection,fa-camera-movie,2020-01-09T20:00:00+02:00,2020-01-09T21:30:00+02:00,EN (VOSTFR),movie_nothing_to_hide.png,P2P Festival,Projection,Projection du documentaire Nothing to Hide,"Documentaire dédié à l'acceptation de la surveillance dans la population à travers l'argument ""je n'ai rien à cacher"". ""Passionnant"" (Inrocks), ""Qui ouvre les yeux"" (Forbes), ""Inquiétant"" (France 24)",Nothing to hide - A Documentary About Surveillance,"This documentary shows how the general population is keen to accept to be under constant surveillance. ""Fascinating"" (Inrocks), ""Eye-opener"" (Forbes), ""Worrying"" (France 24)",Projection
,16,projection,projection,fa-camera-movie,TBA,TBA,EN (VOSTFR),movie_internets_own_boy.png,P2P Festival,Projection,Projection du documentaire The Internet's Own Boy,"Le film évoque la vie et le suicide du développeur, écrivain et cybermilitant américain Aaron Swartz. Le film est narré par des proches d'Aaron, notamment sa mère, ses frères et sa petite amie, Taren Stinebrickner-Kauffman.",The Internet's Own Boy - A Documentary About Aaron Swartz ,"The film depicts the life of American computer programmer, writer, political organizer, and Internet activist Aaron Swartz.",Projection
,17,workshop,workshop,fa-laptop-code,2020-01-09T16:00:00+02:00,2020-01-09T17:00:00+02:00,FR/EN,,Lola Rigaut-Luczak,P2P Meet-up,"ZeroNet : Workshop - Open, free and uncensorable websites, using Bitcoin cryptography and BitTorrent network.","ZERONET WORKSHOP : Courte présentation de ZeroNet + aider les participants à installer ZeroNet, premier poste sur le réseau, créer un site, tour des sites intéressants, installation de plugins, faire un backup de sa clé privée,... etc.","ZeroNet : Workshop - Open, free and uncensorable websites, using Bitcoin cryptography and BitTorrent network.","ZERONET WORKSHOP : After a brief presentation of ZeroNet, Lola will help participants to install ZeroNet, post on the network, create a site, check interesting sites, install plugins, backup one's private key, etc.",P2P Meet-up
,18,party,DJ set,fa-music,2020-01-09T21:30:00+02:00,2020-01-09T23:30:00+02:00,,,DJ DITLEF,Avion,DJ Set Hiphop/Soul/Funk,,DJ Set Hiphop/Soul/Funk,,Avion
,19,stand,stand,fa-flag,TBA,TBA,FR ,,Les Hackeuses,Village (entre la boutique de plante et la tête de l’avion),Atelier d'initiation à la cryptomonnaie pour les femmes,@LesHackeuses et leurs complices soutiennent la volonté des femmes à prendre leur place dans l’écosystème blockchain. La stratégie est de rentrer intelligemment dans l’écosystème pour le faire évoluer de l’intérieur (d’où le nom : @LesHackeuses).,"Introduction to cryptocurrency for women, by @mamiecrypto",@LesHackeuses and firends support women in their effort to play a bigger part within the blockchain ecosystem.,Village
,20,stand,stand,fa-flag,2020-01-09T18:00:00+02:00,2020-01-09T22:00:00+02:00,FR/EN,,Artiste Fasto,Village,P2P Painting - Experiment Peer-painting with friends,"Fresques participatives et ateliers dessins/peintures avec l'artiste Fasto, accessibles aux enfants comme aux adultes

",P2P Painting - Experiment Peer-painting with friends,Partipative & peer-painting with Fasto - children and adults equally welcomed!,Village
,21,stand,stand,fa-flag,TBA,TBA,FR/EN,,Axiom Team,TBA,Stand d'information sur les monnaies libres,"Stand d'information sur les monnaies libres (G1, Duniter, Axiom Team)","Introduction to Libre Money & Currencies (G1, Duniter, Axiom Team)","Stand d'information sur les monnaies libres (G1, Duniter, Axiom Team)",TBA
vendredi 10,22,hackathon,hackathon,fa-robot,2020-01-10T18:00:00+02:00,,FR/EN,,FFA ,Hackzone (Le Décanteur),Hackathon & Workshops,,Hackathon & Workshops,,Hackzone (Le Décanteur)
,23,talk,talk,fa-presentation,TBA,TBA,EN,,P2P Foundation,Conférence,TBA,,TBA,,Conférence
,24,talk,talk,fa-presentation,2020-01-10T18:00:00+02:00,2020-01-10T19:00:00+02:00,FR,,"Amira Bouguera - HellHound, Consensys",Conférence,Découverte du protocole réseau de communication entre noeuds Ethereum,"Amira Bouguera, cryptographe et ingénieure Blockchain chez Consensys, co-fondatrice de Hellhound, propose une introduction à la couche réseau p2p d'Ethereum et en particulier le protocole RLPx",Introduction to networking protocols between Ethereum nodes,"Amira Bouguera, cryptographer and Blockchain engineer at Consensys, co-founder of Hellhound, gives an introduction to the p2p network layer of Ethereum, with a focus on RLPx transport protocol",Conférence
,25,talk,talk,fa-presentation,2020-01-10T19:00:00+02:00,2020-01-10T19:30:00+02:00,FR,,Rachel Arnould - Open Food Network,Conférence,Open Food - la distribution alimentaire réappropriée par ses acteurs,,Open Food - Food distribution back in the hands of its stakeholders,"Amira Bouguera, cryptographer and Blockchain engineer at Consensys, co-founder of Hellhound, gives an introduction to the p2p network layer of Ethereum, with a focus on RLPx transport protocol",Conférence
,26,workshop,workshop,fa-laptop-code,2020-01-10T14:00:00+02:00,2020-01-10T18:00:00+02:00,FR,,Alice & Marguerite,Hackzone,Atelier prospective sur les spécifications SOLID,TBA,"Workshop on Future SOLID Specifications, by Alice & Marguerite",TBA,Hackzone
,27,workshop,workshop,fa-laptop-code,2020-01-10T16:00:00+02:00,2020-01-10T18:00:00+02:00,FR/EN,,Lola Rigaut-Luczak,P2P Meet-up,LibTorrent : Workshop - Libtorrent is a feature complete C++ bittorrent implementation focusing on efficiency and scalability. It runs on embedded devices as well as desktops.,"Workshop sur comment créer son propre (minimaliste) client bittorent en python. Introduction à libtorrent, sa documentation et le module python pour l'intégrer dans une application python.",LibTorrent : Workshop - Libtorrent is a feature complete C++ bittorrent implementation focusing on efficiency and scalability. It runs on embedded devices as well as desktops.,"How to create your own minimal BitTorrent client with Python. Introduction to libtorrent, its documentation and the module for using it in an app written in Python.",P2P Meet-up
,28,projection,projection,fa-camera-movie,2020-01-10T17:00:00+02:00,2020-01-10T18:30:00+02:00,EN (VOSTFR),movie_nothing_to_hide.png,P2P Festival,Projection,Projection du documentaire Nothing to Hide,"Documentaire dédié à l'acceptation de la surveillance dans la population à travers l'argument ""je n'ai rien à cacher"". ""Passionnant"" (Inrocks), ""Qui ouvre les yeux"" (Forbes), ""Inquiétant"" (France 24)",Nothing to hide - A Documentary About Surveillance,"This documentary shows how the general population is keen to accept to be under constant surveillance. ""Fascinating"" (Inrocks), ""Eye-opener"" (Forbes), ""Worrying"" (France 24)",Projection
,29,projection,projection,fa-camera-movie,2020-01-10T20:00:00+02:00,2020-01-10T21:30:00+02:00,FR,movie_protocole.png,P2P Festival,Projection,Projection du documentaire Protocole,"Protocole écoute la « cryptosphère ». On y côtoie des utilisateurs, des promoteurs de Bitcoin et des cryptomonnaies en général, mais aussi des entrepreneurs et des chercheurs qui étudient ce phénomène.

En donnant la parole aux premiers concernés, il devient évident que la contestation monétaire portée par Bitcoin s’inscrit en réalité dans une remise en question beaucoup plus vaste de notre société tout entière. Les cryptomonnaies sont bien moins « une nouvelle classe d’actifs » qu’un phénomène social.",Protocole - A Documentary About Bitcoin & Cryptocurrencies,"Protocole is plugged to the « cryptosphere », where one can meet users and supporters of Bitcoin and other cryptocurrencies, as well as entrepreneurs and researchers.

Giving them a voice makes it obvious that Bitcoin as a way of challenging monetary institutions is actually part of larger trend of the society as a whole. Cryptocurrency are not just a new ""asset class"", but complex and far-reaching social phenomenon.",Projection
,30,projection,projection,fa-camera-movie,TBA,TBA,EN (VOSTFR),movie_internets_own_boy.png,P2P Festival,Projection,Projection du documentaire The Internet's Own Boy,"Ce film raconte l'histoire de Aaron Swartz, programmeur de génie et activiste de l'information. Depuis l'aide qu'il a apportée au développement de RSS, l'un des protocoles à la base d'Internet, à la co-fondation de Reddit, son empreinte est partout sur Internet.
Mais c'est le travail révolutionnaire de Swartz autour des questions de justice sociale et d'organisation politique, combiné à son approche sans concession de l'accès à l'information pour tous, qui l'a pris au piège dans un cauchemar juridique de deux années. Cette bataille s'est terminée par son suicide à 26 ans.
L'histoire d'Aaron touche une corde sensible chez des personnes même éloignées des communautés online parmi lesquelles il était une célébrité. Ce film est une histoire personnelle à propos de ce que nous perdons lorsque nous restons sourds à la technologie et à ses relations à nos libertés civiles.",The Internet Own's Boy - A Documentary About Aaron Swartz ,"The film depicts the life of American computer programmer, writer, political organizer, and Internet activist Aaron Swartz.",Projection
,31,party,DJ set,fa-music,2020-01-10T22:00:00+02:00,2020-01-10T00:30:00+02:00,,,La Cuniculaire,Avion,DJ Set Hiphop/Soul/Funk,"En pleine semaine, La Cuniculaire rassemble pour faire danser le monde et ce gratuitement.
L’accent est mis sur la sélection musicale et sur la mixité de genre, de couleur, de sexualité.",DJ Set Hiphop/Soul/Funk,"En pleine semaine, La Cuniculaire rassemble pour faire danser le monde et ce gratuitement.
L’accent est mis sur la sélection musicale et sur la mixité de genre, de couleur, de sexualité.",Avion
,32,stand,stand,fa-flag,2020-01-10T18:00:00+02:00,,FR,,Les Hackeuses,Village (entre la boutique de plante et la tête de l’avion),Atelier d'initiation à la cryptomonnaie pour les femmes,@LesHackeuses et leurs complices soutiennent la volonté des femmes à prendre leur place dans l’écosystème blockchain. La stratégie est de rentrer intelligemment dans l’écosystème pour le faire évoluer de l’intérieur (d’où le nom : @LesHackeuses).,"Introduction to cryptocurrency for women, by @mamiecrypto",@LesHackeuses and firends support women in their effort to play a bigger part within the blockchain ecosystem.,Village
,33,stand,stand,fa-flag,2020-01-10T18:00:00+02:00,2020-01-10T22:00:00+02:00,FR/EN,,Artiste Fasto,Village,P2P Painting - Experiment Peer-painting with friends,"Fresques participatives et ateliers dessins/peintures avec l'artiste Fasto, accessibles aux enfants comme aux adultes

",P2P Painting - Experiment Peer-painting with friends,Partipative & peer-painting with Fasto - children and adults equally welcomed!,Village
samedi 11,34,talk,talk,fa-presentation,2020-01-11T14:00:00+02:00,2020-01-11T15:00:00+02:00,FR/EN,,Antoine Eddi - Berty.tech,Conférence,Présentation IPFS & Berty Protocol,Qu'est-ce qu'IPFS ? Comment fonctionne ce protocole dont tout le monde parle ? Quelles perspectives d'utilisations ? Qu'est-ce que l'équipe Berty a pu développé dans le cadre de son projet basé sur IPFS - Retour d'expérience d'Antoine E.,"Introduction to IPFS and Berty Protocol, by Antoine E",What is IPFS? How does it work? How can it be used? What is Berty and how did they use IPFS in their project? Lessons learned by Antoine E.,Conférence
,35,talk,talk,fa-presentation,2020-01-11T15:30:00+02:00,2020-01-11T16:00:00+02:00,FR,,Manfred Touron - Berty.tech,Conférence,Comment contribuer ou rejoindre des projets open source ? Quelles méthodologies ?,"Beaucoup de développeurs appréhendent, ou méconnaissent les méthodologies d'interactions avec les projets open source. Timidité, peurs de mal faire... ou incompréhension des processus sont autant de raisons de ne pas contribuer à un projet. Retour d'expérience sur les méthodologies pour les porteurs de projets ouverts, comme pour les développeurs souhaitant devenir contributeurs open source.","How to Join and Contribute to Open Source Projects, by Manfred T","Many developers have misconceptions about open source collaboration. Being a bit shy and afraid to make a mistake is a frequent reason for not contributing, and so is just not knowing about how to start. This talk will share lessons learned about open collaboration, both for project leads and independent contributors.",Conférence
,36,talk,talk,fa-presentation,2020-01-11T16:00:00+02:00,2020-01-11T17:00:00+02:00,FR,,DAO Panel,Conférence,Panel : 2020 sera-t-elle l'année des DAOs ?,"Panel avec Louis Giraux (Association Aragon), Adrien Berthou (Genesis DAO, PolkaDAO, DAO), Alex Masmej (MetaCartel, Stake DAO, Marketing DAO) - modéré par Philippe Honigman",Panel: Will 2020 be the Year of DAOs?,"Panel with Louis Giraux (Association Aragon), Adrien Berthou (Genesis DAO, PolkaDAO, DAO), Alex Masmej (MetaCartel, Stake DAO, Marketing DAO) - moderated par Philippe Honigman",Conférence
