day,id,k,k_label,k_icon,t_start,t_end,language,orga,fr_title,fr_description,fr_location,en_title,en_description,en_location
,11,projection,projection,fa-camera-movie,TBA,TBA,FR,The Internet Own's Boy - Aaron Swartz ,The Internet Own's Boy - Aaron Swartz ,,TBA,,,
,12,workshop,workshop,fa-laptop-code,2020-01-09T16:00:00+02:00,2020-01-09T17:00:00+02:00,FR/EN,Lola Rigaut-Luczak,"ZeroNet : Workshop - Open, free and uncensorable websites, using Bitcoin cryptography and BitTorrent network.","ZERONET WORKSHOP : Courte présentation de ZeroNet + aider les participants à installer ZeroNet, premier poste sur le réseau, créer un site, tour des sites intéressants, installation de plugins, faire un backup de sa clé privée,... etc.",P2P Meet-up Zone,,,
,13,party,DJ set,fa-music,2020-01-09T21:30:00+02:00,2020-01-09T23:30:00+02:00,,DJ DITLEF,DJ Set Hiphop/Soul/Funk,,Dans l'avion !,,,
vendredi 10,1,stand,stand,fa-flag,2020-01-10T18:00:00+02:00,,FR,Les Hackeuses,Atelier d'initiation à la cryptomonnaie pour les femmes,@LesHackeuses et leurs complices soutiennent la volonté des femmes à prendre leur place dans l’écosystème blockchain. La stratégie est de rentrer intelligemment dans l’écosystème pour le faire évoluer de l’intérieur (d’où le nom : @LesHackeuses).,Entre la boutique de plante et la tête de l’avion.,,,
,2,stand,stand,fa-flag,2020-01-10T18:00:00+02:00,2020-01-10T22:00:00+02:00,FR/EN,Artiste Fasto,P2P Painting - Experiment Peer-painting with friends,"Fresques participatives et ateliers dessins/peintures avec l'artiste Fasto, accessibles aux enfants comme aux adultes

",TBA,,,
,3,hackathon,hackathon,fa-robot,2020-01-10T18:00:00+02:00,,FR/EN,FFA ,Hackathon & Workshops,,Le Décanteur,,,
,4,talk,talk,fa-presentation,2020-01-10T20:00:00+02:00,2020-01-10T21:15:00+02:00,FR,Antoine Champagne (Reflets.info),État des lieux : Protection des communications & journalisme.,,Espace Conférence,,,
,5,talk,talk,fa-presentation,TBA,TBA,EN,P2P Foundation,TBA,,Espace Conférence,,,
,6,workshop,workshop,fa-laptop-code,2020-01-10T14:00:00+02:00,2020-01-10T18:00:00+02:00,FR,Digital Commons Consortium - (Alice) ,Atelier prospective sur les spécifications SOLID (animé par Alice & Marguerite),relancer pour description,Hackzone Workshop,,,
,7,workshop,workshop,fa-laptop-code,2020-01-10T16:00:00+02:00,2020-01-10T18:00:00+02:00,FR/EN,Lola Rigaut-Luczak,LibTorrent : Workshop - Libtorrent is a feature complete C++ bittorrent implementation focusing on efficiency and scalability. It runs on embedded devices as well as desktops.,"Workshop sur comment créer son propre (minimaliste) client bittorent en python. Introduction à libtorrent, sa documentation et le module python pour l'intégrer dans une application python.",P2P Meetup Mensuel,,,
,8,projection,projection,fa-camera-movie,2020-01-10T17:00:00+02:00,2020-01-10T18:30:00+02:00,FR,Nothing to hide - Projection,Nothing to hide - Projection,"Documentaire dédié à l'acceptation de la surveillance dans la population à travers l'argument ""je n'ai rien à cacher"". ""Passionnant"" (Inrocks), ""Qui ouvre les yeux"" (Forbes), ""Inquiétant"" (France 24)",Salle de projection,,,
,9,projection,projection,fa-camera-movie,2020-01-10T20:00:00+02:00,2020-01-10T21:30:00+02:00,FR,Protocole ,"Projection Film ""Protocole"" + Débat avec Rémi Crussière","Protocole écoute la « cryptosphère ». On y côtoie des utilisateurs, des promoteurs de Bitcoin et des cryptomonnaies en général, mais aussi des entrepreneurs et des chercheurs qui étudient ce phénomène.

En donnant la parole aux premiers concernés, il devient évident que la contestation monétaire portée par Bitcoin s’inscrit en réalité dans une remise en question beaucoup plus vaste de notre société tout entière. Les cryptomonnaies sont bien moins « une nouvelle classe d’actifs » qu’un phénomène social.",Salle de projection,,,
,10,projection,projection,fa-camera-movie,TBA,TBA,FR,The Internet Own's Boy - Aaron Swartz ,The Internet Own's Boy - Aaron Swartz ,,TBA,,,
